SubDiv,Year,Annual,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Jan-Feb,Mar-May,Jun-Sept,Oct-Dec
UTTARAKHAND,2015,1247.6,54.5,62.6,127.3,57.3,38,186.6,337,305.3,52.6,16.8,2.4,7.2,117,222.6,881.5,26.4
HIMACHAL,1990,1462.7,36.2,161.2,217.7,52.5,61.8,80.2,302.3,221.8,162.8,15.6,10.1,140.6,197.4,332,767,166.3
HIMACHAL,1991,1104.8,24,143.1,120.6,104.5,69.7,67.1,141.6,258.3,128.5,2.2,4.3,40.9,167.1,294.8,595.6,47.4
HIMACHAL,1992,1383.1,123.9,75.8,199.4,36.9,83.9,53,277.5,374,127.6,7,19.4,4.7,199.7,320.1,832.2,31.1
HIMACHAL,1993,1128.3,109.2,69.7,164.1,20.6,56.7,70.9,386.9,89.1,143.1,0.3,17.7,0,178.8,241.5,690,18
HIMACHAL,1994,1410.2,88.7,124.7,29,131.3,65.5,114.2,367,311,92.7,8.5,0.1,77.6,213.4,225.8,884.8,86.2
HIMACHAL,1995,1493.9,61.5,140,96.7,85.8,44.2,66.5,332.4,345.1,284.5,5.4,13.9,17.7,201.5,226.7,1028.6,37.1
HIMACHAL,1996,1384.4,118.6,117.8,112.5,50.6,68.5,173.7,210.6,348.3,138.5,38.3,0.6,6.4,236.4,231.6,871.1,45.3
HIMACHAL,1997,1454.5,50.9,58.5,60.4,97.4,66.1,92.3,198.7,476.1,113.8,44.4,87.4,108.5,109.3,223.8,881,240.3
HIMACHAL,1998,1381.6,13.5,133.8,139.4,71.5,41.3,152.3,210.7,239.8,251.5,119.4,5.9,2.4,147.3,252.3,854.3,127.7
HIMACHAL,1999,1144.9,109.2,54.3,33.4,7.1,98.3,104.7,304.1,284.6,111.4,6.4,28.9,2.5,163.5,138.8,804.8,37.8
HIMACHAL,2000,1068.4,118.2,119,68.1,25.6,79.9,198,265.1,126.7,50.1,0,10.5,6.9,237.2,173.7,640,17.5
HIMACHAL,2001,991.8,30.5,35.7,105.8,66.9,67.3,153.8,239.5,202.3,26.9,5,20.8,37.3,66.2,240,622.5,63.1
HIMACHAL,2002,990.4,66.7,136.5,136.9,124,27,56.1,81.8,225.6,123.1,8.2,0.7,3.9,203.2,287.9,486.6,12.8
HIMACHAL,2003,1034.5,39.5,116.6,113,52.9,35.9,61.4,187.7,228.7,135.5,0.3,22.5,40.4,156.1,201.9,613.3,63.2
HIMACHAL,2004,878.5,86.2,43,5.9,54.7,57.6,76.1,141.3,202.5,47.6,104.7,9.3,49.4,129.3,118.3,467.5,163.5
HIMACHAL,2005,1248.5,147.8,222.9,143.3,35.2,52.4,52.6,317.2,114.2,156.3,1.8,0.3,4.5,370.7,230.9,640.3,6.6
HIMACHAL,2006,1218.4,102.5,38.2,137.3,44.3,68.4,104.8,260.3,274.2,92.8,17.5,26.9,51.2,140.7,250,732.1,95.6
HIMACHAL,2007,1034.5,1.3,121,177,9.6,39.3,155.7,155.2,234.3,85.7,18.7,1,35.6,122.3,225.9,631,55.4
HIMACHAL,2008,1114.2,129.9,63.2,6.3,44.4,42.9,187.3,194.9,224.7,142.6,33.9,5.3,38.9,193.1,93.6,749.4,78
HIMACHAL,2009,956.5,54.8,45.9,43.4,91.2,53.5,45.5,170.2,162.6,172.1,16.4,93.1,7.8,100.7,188.2,550.3,117.2
HIMACHAL,2010,1259.4,25.5,96.6,45.1,60.3,81.4,108.5,291.8,274.1,176.7,30.5,10.8,58.1,122.1,186.8,851.2,99.4
HIMACHAL,2011,1108.3,43.9,97.4,49.7,62.4,45.1,118.3,177.7,380.2,120.3,6,0.3,6.9,141.3,157.3,796.6,13.2
HIMACHAL,2012,951.6,92.3,51.3,28.4,55.9,9.4,31.1,241.5,280.6,133.1,3.1,3.2,21.8,143.5,93.7,686.3,28.1
HIMACHAL,2013,1211.9,79.9,182.6,76.6,28.9,32.6,233.6,208.8,240,65.8,21.8,16.6,24.8,262.5,138.1,748.2,63.2
HIMACHAL,2014,1008.7,69.6,124.9,125.2,60.6,68.9,51.7,203.6,146.7,84.6,19.3,4.5,49.3,194.5,254.6,486.6,73
HIMACHAL,2015,1210.5,67.2,156.6,192.5,84.9,45,85.8,249.9,195.9,75.5,17.7,14.5,25,223.9,322.3,607.2,57.2
J & K,1990,1574,110.2,206.5,309.8,98.4,28.6,69.1,193.3,133.5,115.6,38.6,10.5,259.7,316.7,436.9,511.5,308.9
J & K,1991,1448.8,71.3,216.5,176.1,233.2,93.5,75.6,162.8,204.4,148.9,10.6,5.6,50.5,287.8,502.7,591.6,66.7
J & K,1992,1478.1,161.9,91.2,194.7,86.8,110.7,44.6,168.8,306.1,226.6,22.6,36.4,27.6,253.2,392.2,746.1,86.6
J & K,1993,1243.8,114.9,123.6,233.1,31.8,106.5,93.6,324.7,63.4,84.3,13.2,54.4,0.2,238.5,371.4,566,67.8
J & K,1994,1732.5,139.9,133,82.3,136.6,99.2,107.9,344.7,329.1,88.6,32.4,2.7,236,273,318.1,870.3,271.1
J & K,1995,1619.6,101.4,210.2,129.3,124.9,74.4,56,408,241.3,140.1,38.8,45.6,49.6,311.6,328.5,845.4,134.1
J & K,1996,1620.4,127.5,115.7,213.6,85.4,125.5,182,136,441.5,52.3,96.4,25.8,18.8,243.2,424.4,811.8,141
J & K,1997,1295.9,68.4,55.6,164.1,144.5,89.1,81.2,126.6,270.2,75.4,77.3,84.3,59.2,124,397.7,553.4,220.8
J & K,1998,1325.9,75,297.2,185.4,192.8,75.1,59.3,161,131.1,97.9,49.2,1.8,0,372.2,453.3,449.3,51.1
J & K,1999,890.3,183.5,56,91.6,24.3,47.6,51.9,133.8,145,84.8,3.5,68.4,0.2,239.4,163.5,415.5,72
J & K,2000,984.6,159.5,106.6,90.4,30.4,51.1,95.5,193.7,123.6,73.2,1.4,21,38.2,266.2,171.9,485.9,60.6
J & K,2001,952.7,17.4,54.3,81.7,92.8,69.6,121.7,243.9,126.7,53.9,12.7,51.6,26.4,71.7,244.1,546.3,90.6
J & K,2002,903.5,58.7,101.2,105.5,86.3,33,94.2,78.7,217.4,97.9,15.2,0.7,14.6,159.9,224.8,488.3,30.5
J & K,2003,1311.1,26.9,267.2,170.9,117.5,111.3,41,136,185.5,126.1,13.3,33.7,81.7,294.2,399.7,488.5,128.8
J & K,2004,944.9,176,70.6,21.2,118.9,87.5,95.2,118,77.9,40.5,73.3,23.3,42.4,246.6,227.6,331.8,138.9
J & K,2005,1692.7,296,403.5,189.7,64.9,92,41.6,440.3,77.7,50,14.6,21.8,0.5,699.5,346.6,609.7,37
J & K,2006,1519.8,200.3,92.3,96.8,34.4,43.8,74.3,209,331.5,203,46.2,72.5,115.8,292.5,174.9,817.8,234.5
J & K,2007,1023.5,12.3,116.7,259.3,15,65.6,143.9,132.4,196.8,33,1.6,0,47,129,339.8,506.1,48.6
J & K,2008,1224.5,153.5,130.8,9.9,97.7,63.3,134.9,266.3,166,44.7,42.4,25.2,89.8,284.2,170.8,612,157.4
J & K,2009,NA,120.3,117.9,63.7,113.5,64.3,64.1,NA,96.5,50.5,8.1,NA,NA,238.2,241.5,NA,NA
J & K,2010,997.9,30.9,142.2,34.9,63.9,128.3,67.4,137.3,253.2,65,25,13.6,36.1,173.2,227.1,522.9,74.7
J & K,2011,887.6,43.4,211.6,97.8,89,32.4,72.5,81.6,131.2,72,19.4,12.9,23.8,254.9,219.2,357.3,56.1
J & K,2012,1034.7,150.9,95.8,45.2,86.6,48.9,32.6,118.8,264.9,106.7,15.7,10.8,57.8,246.7,180.7,523,84.3
J & K,2013,859.3,52.2,136.4,41.9,47.4,47.4,80.5,125.1,219.1,41.2,34.4,13.4,20.3,188.6,136.7,465.8,68.1
J & K,2014,1093.4,75.8,64,153.1,76.1,52.7,25.3,100.5,134.6,362.8,32.2,14.1,2.3,139.8,281.9,623.2,48.5
J & K,2015,1572.8,27.9,187.2,341.4,173.3,64.6,121.4,233.2,129.2,130.2,87.1,38.1,39.3,215.1,579.3,614,164.5
KUTCH,1990,407.9,0,2.3,0.4,0,5.9,32.9,16.9,259.4,70.1,18.8,0.1,1.1,2.3,6.3,379.3,20
KUTCH,1991,218.7,0,0,0,0,0,13.3,155.6,44.2,5.4,0,0,0.3,0,0,218.4,0.3
KUTCH,1992,600.7,1.8,0.2,0,0,0.1,45.1,343.2,111.9,88.7,9.5,0.2,0,2,0.1,588.9,9.7
KUTCH,1993,312.7,1.5,4.8,0,0,0,41.4,140.6,4,70.1,30.5,17.2,2.5,6.4,0,256.2,50.1
KUTCH,1994,872.8,1,0,0,0,0,99.4,403.1,137.5,231.6,0.2,0,0,1,0,871.6,0.2
KUTCH,1995,374.1,0,0,0.2,0,0,3,259.1,45.4,42.5,23.9,0,0,0,0.2,350,23.9
KUTCH,1996,374.4,0.4,0,0,0.1,0,137.1,162.1,23.9,11.8,39,0,0,0.4,0.2,334.9,39
KUTCH,1997,600.2,0.8,0,0.6,0.3,3,189.8,137.4,95.7,170.7,1.9,0,0,0.8,3.9,593.7,1.9
KUTCH,1998,566.9,0,0,0,0,0,109.1,149.6,94.4,62.1,150,1.6,0,0,0,415.2,151.6
KUTCH,1999,380.7,1.3,10.5,0,0,131.9,60.6,42.3,17.4,23.9,92.9,0,0,11.8,131.9,144.2,92.9
KUTCH,2000,286.1,0,0,0,0,2.9,5.4,224.7,46.2,4.5,2.2,0,0.1,0,2.9,280.9,2.3
KUTCH,2001,510.2,0,0,0,0.2,0.9,172.9,191.1,116.9,20.6,7.6,0,0,0,1,501.5,7.6
KUTCH,2002,308.1,0,0,0,0,0,166.4,8,117.5,15.1,0.2,0.2,0.6,0,0,307,1
KUTCH,2003,686.2,0,0.4,0,0,0,68.2,402.2,190.7,21.7,3,0,0,0.4,0,682.7,3
KUTCH,2004,482.2,0.2,0,0,0,13.6,95,90,227.7,36.1,19.7,0,0,0.2,13.6,448.6,19.8
KUTCH,2005,631.6,0,0,0,0.2,0.2,201.2,126.7,68.4,233.1,1.7,0,0,0,0.4,629.4,1.7
KUTCH,2006,701.8,0,0,1.9,0,0,66.2,373.4,189.8,68.2,1.4,0.3,0.6,0,1.9,697.7,2.3
KUTCH,2007,890.7,0,1.9,0.1,0,0.2,114.1,209.2,405.4,157,1.7,1.2,0,1.9,0.3,885.7,2.8
KUTCH,2008,607.9,0.1,0.1,0.1,0.5,0,96,150.3,115.1,231.6,5.8,0.6,7.7,0.2,0.6,593,14.1
KUTCH,2009,596.9,0,0,0,0,0,68.1,409.1,106,8.8,3.3,1.5,0,0,0.1,592,4.9
KUTCH,2010,1119.9,0.1,0,0,0,0.1,71.1,393.8,391.3,187.6,11.6,64.3,0,0.1,0.1,1043.7,75.9
KUTCH,2011,742.5,0,1.4,0,0,0,26,212.7,290.9,210.1,1.2,0.1,0,1.4,0,739.8,1.3
KUTCH,2012,323.8,0,0,0,0.2,0.1,22.4,34.7,34.5,228.5,2.4,0,1,0,0.2,320.1,3.4
KUTCH,2013,681.8,1.7,0.2,0.1,8.5,0.1,127.7,171.2,83.3,260.2,28.6,0,0,1.9,8.7,642.5,28.6
KUTCH,2014,383.9,0.3,0,0.1,0.5,2.1,17.3,137.7,118.8,99.2,5.2,2.7,0,0.3,2.7,373,7.8
